Date,Price,Open,High,Low,Vol.,Change %
12/12/2022,17800,17800,17800,17800,6.99M,6.91%
12/9/2022,16650,16650,17700,16650,56.12M,-6.98%
12/8/2022,17900,17900,18900,17900,67.93M,-6.77%
12/7/2022,19200,19200,19400,19200,23.23M,-6.80%
12/6/2022,20600,21100,21200,20600,52.31M,-7.00%
12/5/2022,22150,24000,24700,22150,60.54M,-6.93%
12/2/2022,23800,23350,24050,22300,46.46M,1.93%
12/1/2022,23350,24900,24950,22000,74.95M,0.00%
11/30/2022,23350,23350,23350,23000,23.24M,6.86%
11/29/2022,21850,21400,21850,21000,21.57M,6.85%
11/28/2022,20450,19050,21200,19050,104.26M,0.00%
11/25/2022,20450,20450,20450,20450,7.36M,-6.83%
11/24/2022,21950,21950,21950,21950,3.28M,-6.99%
11/23/2022,23600,23600,25000,23600,29.72M,-6.90%
11/22/2022,25350,25350,28300,25350,128.53M,-6.97%
11/21/2022,27250,27250,27250,27250,630.90K,-6.84%
11/18/2022,29250,29250,29250,29250,1.27M,-6.85%
11/17/2022,31400,31400,31400,31400,390.70K,-6.96%
11/16/2022,33750,33750,33750,33750,176.40K,-6.90%
11/15/2022,36250,36250,36250,36250,219.80K,-6.93%
11/14/2022,38950,38950,38950,38950,29.30K,-6.93%
11/11/2022,41850,41850,41850,41850,677.40K,-6.90%
11/10/2022,44950,44950,44950,44950,331.60K,-6.94%
11/9/2022,48300,48300,48300,48300,535.60K,-6.94%
11/8/2022,51900,51900,51900,51900,349.40K,-6.99%
11/7/2022,55800,55800,55800,55800,393.30K,-6.84%
11/4/2022,59900,59900,59900,59900,337.70K,-6.99%
11/3/2022,64400,68200,68200,64400,738.50K,-6.94%
11/2/2022,69200,70000,70000,66000,1.68M,-1.14%
11/1/2022,70000,70900,71400,65600,1.22M,0.00%
10/31/2022,70000,71200,71900,67500,2.45M,-3.45%
10/28/2022,72500,73500,74000,72000,1.55M,-1.89%
10/27/2022,73900,74900,74900,73100,1.09M,-0.81%
10/26/2022,74500,75000,75300,73000,1.07M,-0.67%
10/25/2022,75000,74200,75000,70500,2.11M,0.81%
10/24/2022,74400,73800,75000,72900,2.36M,-0.80%
10/21/2022,75000,75000,75000,73000,1.95M,-0.13%
10/20/2022,75100,74200,75100,74000,1.63M,0.13%
10/19/2022,75000,75000,75000,74000,912.90K,-0.13%
10/18/2022,75100,75000,75100,74000,2.73M,0.13%
10/17/2022,75000,76000,76000,73000,1.80M,-1.32%
10/14/2022,76000,75000,76000,74000,2.36M,0.66%
10/13/2022,75500,75000,75900,72800,1.81M,-0.66%
10/12/2022,76000,74000,78000,74000,3.53M,1.33%
10/11/2022,75000,75800,75800,71100,4.49M,-1.83%
10/10/2022,76400,75400,78000,74900,2.48M,-3.29%
10/7/2022,79000,80100,80200,77400,3.67M,-1.50%
10/6/2022,80200,82000,82900,80100,1.83M,-2.20%
10/5/2022,82000,82000,82600,81300,2.40M,0.00%
10/4/2022,82000,82300,82900,81000,2.03M,0.00%
10/3/2022,82000,84000,85000,81000,2.37M,-3.42%
09/30/2022,84900,84900,85500,83900,4.67M,0.12%
09/29/2022,84800,85000,85400,83900,3.20M,0.71%
09/28/2022,84200,84500,84800,83000,2.16M,-0.36%
09/27/2022,84500,84600,84900,84000,2.71M,0.00%
09/26/2022,84500,84500,84500,83800,3.80M,0.00%
09/23/2022,84500,84600,85200,83800,3.04M,-0.12%
09/22/2022,84600,84000,84600,83200,3.81M,0.00%
09/21/2022,84600,84700,84700,84000,2.33M,0.00%
09/20/2022,84600,85000,85000,84000,3.22M,-0.47%
09/19/2022,85000,86700,86800,84800,3.69M,-1.62%
09/16/2022,86400,85500,86400,84100,3.63M,1.29%
09/15/2022,85300,83500,85500,83500,2.69M,2.16%
09/14/2022,83500,83000,83900,82000,3.65M,0.00%
09/13/2022,83500,84000,84000,82900,3.42M,-0.48%
9/12/2022,83900,84900,84900,83700,2.82M,-0.94%
9/9/2022,84700,85200,85300,83600,2.18M,-0.35%
9/8/2022,85000,83800,86100,83000,5.28M,1.43%
9/7/2022,83800,82500,83900,81700,3.69M,2.07%
9/6/2022,82100,81000,82400,80800,2.30M,0.74%
9/5/2022,81500,81100,82400,80800,2.78M,-0.49%
08/31/2022,81900,82300,82900,81200,1.66M,-0.36%
08/30/2022,82200,82100,82700,81000,2.39M,0.12%
08/29/2022,82100,82100,82900,81500,2.66M,-1.44%
08/26/2022,83300,83800,84800,82700,3.06M,-0.36%
08/25/2022,83600,83400,84900,82900,3.05M,0.84%
08/24/2022,82900,82700,82900,81800,2.53M,1.10%
08/23/2022,82000,80600,82500,80500,3.42M,0.24%
08/22/2022,81800,82000,82800,80500,3.16M,-0.61%
08/19/2022,82300,83100,84000,82300,2.30M,-0.96%
08/18/2022,83100,84700,85400,83000,5.30M,-1.54%
08/17/2022,84400,83000,84900,82600,3.04M,1.69%
08/16/2022,83000,81500,83000,80600,2.51M,1.47%
08/15/2022,81800,82000,82000,79000,2.58M,0.37%
8/12/2022,81500,81100,82000,78700,3.02M,0.25%
8/11/2022,81300,84000,84200,81100,4.46M,-2.28%
8/10/2022,83200,83300,84000,82300,2.50M,-0.12%
8/9/2022,83300,82000,83600,81000,2.87M,1.83%
8/8/2022,81800,78100,82000,78100,3.26M,1.11%
8/5/2022,80900,78500,82400,78400,3.74M,3.06%
8/4/2022,78500,76300,78500,76000,3.68M,3.02%
8/3/2022,76200,75000,76400,75000,3.06M,0.66%
8/2/2022,75700,74700,75700,74000,2.77M,1.34%
8/1/2022,74700,74000,74700,74000,2.43M,0.27%
07/29/2022,74500,74000,74500,73500,3.01M,0.68%
07/28/2022,74000,73900,74000,73500,1.74M,0.41%
07/27/2022,73700,74400,74500,73300,1.81M,-0.27%
07/26/2022,73900,73200,73900,73200,1.10M,0.27%
07/25/2022,73700,73300,74300,73300,1.27M,-0.27%
07/22/2022,73900,74500,74500,73400,2.11M,-0.40%
07/21/2022,74200,74400,74700,73400,1.87M,0.41%
07/20/2022,73900,73800,74000,73100,918.00K,0.41%
07/19/2022,73600,74000,74700,73200,1.53M,0.00%
07/18/2022,73600,73800,73800,73100,1.41M,0.00%
07/15/2022,73600,74000,74000,72800,1.41M,-0.14%
07/14/2022,73700,73600,73700,73000,1.31M,0.14%
07/13/2022,73600,73200,73900,72900,900.50K,0.27%
7/12/2022,73400,73300,73700,72900,917.30K,0.00%
7/11/2022,73400,73800,73800,73200,957.70K,-0.54%
7/8/2022,73800,74000,74900,73200,1.03M,-0.27%
7/7/2022,74000,73200,74000,73100,1.73M,0.82%
7/6/2022,73400,74000,74000,73100,967.40K,-0.14%
7/5/2022,73500,74100,74800,73100,1.78M,-0.68%
7/4/2022,74000,74500,75000,73400,2.21M,-0.54%
7/1/2022,74400,74900,74900,73800,1.68M,-0.13%
06/30/2022,74500,76000,76000,74400,1.60M,-0.80%
06/29/2022,75100,75300,76100,74700,2.43M,0.00%
06/28/2022,75100,77500,77500,74600,4.12M,-4.70%
06/27/2022,78800,74500,78800,73000,3.98M,6.49%
06/24/2022,74000,72000,75800,72000,3.88M,-1.20%
06/23/2022,74900,75000,75300,74500,2.91M,-0.79%
06/22/2022,75500,76000,76100,74900,2.35M,0.00%
06/21/2022,75500,76000,76300,75200,2.43M,0.00%
06/20/2022,75500,76900,76900,75200,3.11M,-0.26%
06/17/2022,75700,77300,78300,75700,3.40M,-2.32%
06/16/2022,77500,77000,78300,76400,3.14M,1.44%
06/15/2022,76400,76800,77000,75600,3.34M,-0.26%
06/14/2022,76600,76100,77000,76000,2.64M,0.79%
06/13/2022,76000,77000,77000,75900,2.46M,-1.30%
6/10/2022,77000,76900,77500,76300,2.16M,0.65%
6/9/2022,76500,76800,77300,76200,2.38M,0.13%
6/8/2022,76400,76900,77400,76000,2.68M,0.53%
6/7/2022,76000,76000,76500,75200,3.04M,-0.39%
6/6/2022,76300,76100,77100,75500,3.04M,-1.55%
6/3/2022,77500,79000,79300,76000,2.33M,-1.77%
6/2/2022,78900,78100,79900,78100,2.39M,1.15%
6/1/2022,78000,78000,78300,77400,2.44M,0.00%
05/31/2022,78000,78000,78500,77700,2.31M,-0.89%
05/30/2022,78700,78500,78700,77100,2.67M,0.38%
05/27/2022,78400,78000,79500,77300,3.41M,0.51%
05/26/2022,78000,78500,80000,77100,3.25M,-1.14%
