Date,Price,Open,High,Low,Vol.,Change %
7/11/2022,35820,36116,36562,35523,1.70M,-0.96%
7/8/2022,36166,35374,36809,35374,2.15M,2.96%
7/7/2022,35127,34731,35523,34088,1.21M,1.43%
7/6/2022,34632,34236,35622,34236,1.41M,-1.27%
7/5/2022,35077,35622,35622,34335,1.01M,-0.14%
7/4/2022,35127,37007,37304,35127,1.08M,-1.53%
7/1/2022,35671,34830,36116,34385,1.83M,0.70%
06/30/2022,35424,37106,37304,35424,1.79M,-4.15%
06/29/2022,36958,36067,36958,35671,1.97M,1.50%
06/28/2022,36413,36413,37106,35770,1.57M,2.22%
06/27/2022,35622,35622,36314,35176,1.89M,0.00%
06/24/2022,35622,36018,36215,35523,1.68M,-0.83%
06/23/2022,35919,34632,36314,34335,2.01M,4.31%
06/22/2022,34434,33643,35622,33643,2.20M,2.35%
06/21/2022,33643,32356,34583,32010,3.04M,-2.02%
06/20/2022,34335,36116,38293,34335,2.37M,-6.97%
06/17/2022,36908,37799,37996,36710,2.32M,-4.36%
06/16/2022,38590,39481,39778,38590,1.89M,1.17%
06/15/2022,38145,38689,39580,37106,2.45M,-3.87%
06/14/2022,39679,38095,40421,37601,2.29M,0.50%
06/13/2022,39481,40866,41559,39481,3.29M,-6.99%
6/10/2022,42449,42548,43538,42350,1.74M,-2.72%
6/9/2022,43637,43834,44131,42993,2.30M,0.11%
6/8/2022,43587,40767,43587,40668,3.17M,6.92%
6/7/2022,40767,41707,42301,40074,3.63M,-4.41%
6/6/2022,42647,43587,44131,42647,2.39M,-2.38%
6/3/2022,43686,44131,44725,43488,2.17M,-1.89%
6/2/2022,44527,45665,45665,44527,4.14M,-3.12%
6/1/2022,45962,47100,47248,45220,3.71M,-2.72%
05/31/2022,47248,47199,47496,46506,2.34M,-0.11%
05/30/2022,47298,47891,47990,47199,2.24M,0.00%
05/27/2022,47298,46753,48386,46704,3.44M,1.17%
05/26/2022,46753,46704,47496,46061,2.19M,0.53%
05/25/2022,46506,45517,46902,45368,2.39M,2.17%
05/24/2022,45517,45715,45715,42548,1.54M,2.36%
05/23/2022,44469,46717,46717,44176,1.52M,-2.98%
05/20/2022,45837,45691,46815,45398,2.61M,0.21%
05/19/2022,45740,44469,45788,44469,1.56M,0.65%
05/18/2022,45446,46326,46864,45446,2.38M,-1.06%
05/17/2022,45935,43003,46326,42905,3.03M,5.15%
05/16/2022,43687,45349,45349,43003,1.93M,2.05%
05/13/2022,42808,44958,45935,42270,3.35M,-5.80%
5/12/2022,45446,47401,48281,45446,2.95M,-6.25%
5/11/2022,48476,47597,49356,46424,2.97M,1.64%
5/10/2022,47694,42514,47890,42514,2.73M,5.97%
5/9/2022,45007,47499,47597,45007,2.99M,-6.97%
5/6/2022,48378,46326,48378,46033,5.50M,3.02%
5/5/2022,46961,47401,47694,46326,5.51M,0.42%
5/4/2022,46766,46131,47401,45642,3.49M,1.38%
04/29/2022,46131,44469,47352,44469,6.96M,2.50%
04/28/2022,45007,45251,45446,44665,4.24M,-0.54%
04/27/2022,45251,43492,45837,42710,2.59M,2.66%
04/26/2022,44078,39191,44078,38410,5.85M,7.00%
04/25/2022,41195,43980,45251,41195,3.62M,-6.95%
04/22/2022,44274,45055,46424,41879,7.00M,-1.63%
04/21/2022,45007,47206,47792,45007,7.79M,-6.97%
04/20/2022,48378,48574,49844,48378,1.83M,-2.18%
04/19/2022,49454,50333,51017,49160,2.77M,-0.39%
04/18/2022,49649,50333,50333,47890,4.22M,-1.55%
04/15/2022,50431,51604,52483,50333,1.83M,-2.27%
