Date,Price,Open,High,Low,Vol.,Change %
6/6/2022,69300,69400,69500,68200,3.33M,-0.14%
6/3/2022,69400,68600,69400,68000,2.75M,-0.14%
6/2/2022,69500,70100,70100,68600,3.12M,-1.14%
6/1/2022,70300,69600,70300,69000,3.70M,1.01%
05/31/2022,69600,68700,69900,68500,3.69M,1.61%
05/30/2022,68500,68014,68500,66848,2.59M,1.15%
05/27/2022,67723,67043,67723,66557,2.45M,1.46%
05/26/2022,66751,65974,67626,65974,3.05M,1.18%
05/25/2022,65974,64905,65974,64419,3.08M,1.50%
05/24/2022,65002,63933,65002,63836,2.24M,0.30%
05/23/2022,64808,64808,65488,63448,2.90M,-0.15%
05/20/2022,64905,65196,65488,64128,2.31M,-0.30%
05/19/2022,65099,63156,65779,63156,3.32M,0.15%
05/18/2022,65002,65002,65002,63448,4.27M,0.00%
05/17/2022,65002,63350,65002,61504,4.83M,1.67%
05/16/2022,63933,66071,66168,62670,5.30M,-3.24%
05/13/2022,66071,66945,66945,62670,6.92M,-1.31%
5/12/2022,66945,67237,67917,65099,4.12M,-2.27%
5/11/2022,68500,67043,69180,66654,3.07M,0.86%
5/10/2022,67917,65002,67917,63156,4.35M,2.79%
5/9/2022,66071,65974,66557,64516,5.66M,-1.02%
5/6/2022,66751,65099,66848,64808,5.56M,-0.15%
5/5/2022,66848,62767,66848,62573,7.52M,6.67%
5/4/2022,62670,63156,63350,61699,2.51M,-0.77%
04/29/2022,63156,61310,63156,61213,6.82M,0.78%
04/28/2022,62670,63059,63059,60824,6.29M,-0.77%
04/27/2022,63156,62476,63156,60921,4.77M,0.00%
04/26/2022,63156,59561,63156,57521,6.32M,3.17%
04/25/2022,61213,63156,63253,58492,6.86M,-2.63%
04/22/2022,62865,62865,63933,62087,6.19M,1.10%
04/21/2022,62184,64613,65099,62184,6.54M,-4.19%
04/20/2022,64905,66557,66654,63836,5.98M,-3.05%
04/19/2022,66945,67237,68500,66460,2.73M,-1.29%
04/18/2022,67820,68111,68791,66168,5.67M,-1.83%
04/15/2022,69083,70249,70346,68694,4.04M,-1.66%
